"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c2.csv",,,,"Date:","20 Jun 2018 00:40:27 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
20-06 00:40:27,0.0,0.0,0.672,162766848.0,16039936.0,146616320.0,1771819008.0,0.0,0.0,61426.137,729769.261,9201.008,23445.092,8.738,8.365,82.696,0.197,0.0,0.004,10.084,9.005,75.587,0.017,0.0,5.307,0.0,0.0,2.939,2.550,0.040,0.490,0.570,
20-06 00:40:28,0.0,0.0,0.0,162824192.0,16039936.0,146620416.0,1771757568.0,0.0,0.0,0.0,0.0,45.0,85.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,120.0,1564.0,0.0,0.0,0.040,0.480,0.570,
20-06 00:40:29,0.0,0.0,0.0,162824192.0,16039936.0,146620416.0,1771757568.0,0.0,0.0,0.0,0.0,40.0,74.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,260.0,0.0,0.0,0.040,0.480,0.570,
20-06 00:40:30,0.0,0.0,0.0,162824192.0,16048128.0,146612224.0,1771757568.0,0.0,0.0,0.0,36864.0,40.0,71.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,548.0,0.0,4.0,0.040,0.480,0.570,
20-06 00:40:31,1.0,0.0,0.0,163008512.0,16048128.0,146620416.0,1771565056.0,0.0,0.0,0.0,0.0,10291.0,23218.0,16.832,5.941,77.228,0.0,0.0,0.0,10.0,13.0,70.0,0.0,0.0,7.0,1644882.0,611289.0,0.0,0.0,0.040,0.480,0.570,
20-06 00:40:32,2.0,0.0,0.0,163483648.0,16048128.0,146653184.0,1771057152.0,0.0,0.0,32768.0,0.0,18978.0,52209.0,35.789,9.474,54.737,0.0,0.0,0.0,30.526,37.895,20.0,0.0,0.0,11.579,3386190.0,1451367.0,3.0,0.0,0.040,0.480,0.570,
20-06 00:40:33,1.0,0.0,0.0,164290560.0,16048128.0,146653184.0,1770250240.0,0.0,0.0,0.0,0.0,22999.0,58948.0,38.043,11.957,50.0,0.0,0.0,0.0,34.259,24.074,24.074,0.0,0.0,17.593,3926542.0,1572823.0,0.0,0.0,0.110,0.490,0.570,
20-06 00:40:34,1.0,0.0,0.0,165036032.0,16048128.0,146653184.0,1769504768.0,0.0,0.0,0.0,0.0,25731.0,58363.0,34.694,21.429,43.878,0.0,0.0,0.0,27.273,22.222,36.364,0.0,0.0,14.141,4469924.0,1735735.0,0.0,0.0,0.110,0.490,0.570,
20-06 00:40:35,4.0,0.0,0.0,165228544.0,16048128.0,146653184.0,1769312256.0,0.0,0.0,0.0,0.0,24063.0,60562.0,26.316,17.895,55.789,0.0,0.0,0.0,32.353,29.412,23.529,0.0,0.0,14.706,3909078.0,1593867.0,0.0,0.0,0.110,0.490,0.570,
20-06 00:40:36,2.0,0.0,0.0,165163008.0,16056320.0,146653184.0,1769369600.0,0.0,0.0,0.0,12288.0,22724.0,59167.0,25.253,12.121,62.626,0.0,0.0,0.0,33.962,30.189,19.811,0.0,0.0,16.038,3754774.0,1573935.0,0.0,2.0,0.110,0.490,0.570,
20-06 00:40:37,3.0,0.0,0.0,165257216.0,16056320.0,146653184.0,1769275392.0,0.0,0.0,0.0,0.0,24006.0,64878.0,27.835,18.557,53.608,0.0,0.0,0.0,23.469,31.633,28.571,0.0,0.0,16.327,3956356.0,1603670.0,0.0,0.0,0.110,0.490,0.570,
20-06 00:40:38,2.0,0.0,0.0,165322752.0,16056320.0,146653184.0,1769209856.0,0.0,0.0,0.0,0.0,23503.0,60164.0,24.752,17.822,57.426,0.0,0.0,0.0,26.042,32.292,23.958,0.0,0.0,17.708,3803316.0,1540902.0,0.0,0.0,0.100,0.490,0.570,
20-06 00:40:39,3.0,0.0,0.0,165249024.0,16056320.0,146653184.0,1769283584.0,0.0,0.0,0.0,0.0,23439.0,56480.0,22.222,11.111,66.667,0.0,0.0,0.0,35.294,33.333,17.647,0.0,0.0,13.725,3712438.0,1593984.0,0.0,0.0,0.100,0.490,0.570,
20-06 00:40:40,1.0,0.0,0.0,165380096.0,16056320.0,146653184.0,1769152512.0,0.0,0.0,0.0,0.0,23356.0,56864.0,17.822,14.851,67.327,0.0,0.0,0.0,38.235,30.392,17.647,0.0,0.0,13.725,3716384.0,1586364.0,0.0,0.0,0.100,0.490,0.570,
20-06 00:40:41,2.0,0.0,0.0,165404672.0,16064512.0,146653184.0,1769119744.0,0.0,0.0,0.0,12288.0,23521.0,60624.0,21.875,12.500,65.625,0.0,0.0,0.0,38.0,30.0,19.0,0.0,0.0,13.0,3814370.0,1603887.0,0.0,2.0,0.100,0.490,0.570,
20-06 00:40:42,3.0,0.0,0.0,165339136.0,16064512.0,146653184.0,1769185280.0,0.0,0.0,0.0,0.0,24808.0,66749.0,28.283,20.202,51.515,0.0,0.0,0.0,22.0,33.0,29.0,0.0,0.0,16.0,4050554.0,1671533.0,0.0,0.0,0.100,0.490,0.570,
