"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor",,,,"User:","root"
"Cmdline:","dstat -C total --output c2.csv",,,,"Date:","21 May 2018 19:02:38 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
8.763,5.721,83.126,0.104,0.0,2.286,50595.620,206601.380,0.0,0.0,0.0,0.0,1225.873,6076.962
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,180.0,906.0,0.0,0.0,40.0,89.0
0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,60.0,404.0,0.0,0.0,37.0,68.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,37.0,70.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,34.0,67.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,34.0,67.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,60.0,420.0,0.0,0.0,38.0,73.0
0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,36.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,37.0,70.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,34.0,67.0
0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,36.0,68.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,60.0,420.0,0.0,0.0,42.0,82.0
1.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,2171.0,3461.0,0.0,0.0,66.0,164.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,60.0,148.0,0.0,0.0,35.0,67.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,35.0,69.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,38.0,68.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,20480.0,60.0,420.0,0.0,0.0,37.0,73.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,36.0,68.0
0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,39.0,71.0
1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,35.0,68.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,758.0,0.0,0.0,34.0,67.0
0.990,0.0,99.010,0.0,0.0,0.0,0.0,12288.0,180.0,906.0,0.0,0.0,39.0,82.0
0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,60.0,404.0,0.0,0.0,37.0,68.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,36.0,69.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,126.0,758.0,0.0,0.0,36.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,35.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,60.0,420.0,0.0,0.0,39.0,75.0
48.0,21.0,20.0,0.0,0.0,11.0,0.0,0.0,1972486.0,750992.0,0.0,0.0,5392.0,23616.0
60.606,25.253,0.0,0.0,0.0,14.141,0.0,0.0,2874073.0,1068319.0,0.0,0.0,7795.0,34678.0
50.495,27.723,0.0,0.0,0.0,21.782,0.0,0.0,2872373.0,1065977.0,0.0,0.0,7681.0,34349.0
59.596,25.253,0.0,0.0,0.0,15.152,0.0,0.0,2879209.0,1063625.0,0.0,0.0,7629.0,34298.0
61.0,24.0,0.0,0.0,0.0,15.0,0.0,12288.0,3240743.0,1193617.0,0.0,0.0,8652.0,38268.0
49.505,30.693,0.0,0.0,0.0,19.802,0.0,4096.0,3251806.0,1200534.0,0.0,0.0,8467.0,38041.0
59.0,26.0,0.0,0.0,0.0,15.0,0.0,0.0,3175163.0,1179128.0,0.0,0.0,8081.0,36845.0
52.525,33.333,0.0,0.0,0.0,14.141,0.0,0.0,3193601.0,1177394.0,0.0,0.0,8236.0,38242.0
58.416,26.733,0.0,0.0,0.0,14.851,0.0,0.0,3184093.0,1182339.0,0.0,0.0,8179.0,36513.0
51.515,34.343,0.0,0.0,0.0,14.141,0.0,24576.0,3231668.0,1197106.0,0.0,0.0,8249.0,37184.0
56.0,32.0,0.0,0.0,0.0,12.0,0.0,24576.0,3325132.0,1219304.0,0.0,0.0,8487.0,38825.0
48.515,34.653,0.0,0.0,0.0,16.832,0.0,0.0,3131204.0,1147106.0,0.0,0.0,8178.0,36806.0
53.535,32.323,0.0,0.0,0.0,14.141,0.0,0.0,3126871.0,1167911.0,0.0,0.0,8351.0,36243.0
61.0,25.0,0.0,0.0,0.0,14.0,0.0,0.0,3058403.0,1124473.0,0.0,0.0,8050.0,36061.0
55.0,27.0,3.0,0.0,0.0,15.0,0.0,0.0,3003763.0,1103720.0,0.0,0.0,7786.0,36020.0
