"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -C total --output c64.csv",,,,"Date:","22 May 2018 01:14:02 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
0.619,2.539,94.382,0.007,0.0,2.452,8131.386,23676.020,0.0,0.0,0.0,0.0,1428.580,1660.963
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,180.0,1052.0,0.0,0.0,18.0,40.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,678.0,742.0,0.0,0.0,14.0,22.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,672.0,0.0,0.0,15.0,24.0
0.0,0.990,99.010,0.0,0.0,0.0,0.0,0.0,886.0,758.0,0.0,0.0,14.0,22.0
0.990,3.960,86.139,0.0,0.0,8.911,0.0,0.0,422389.0,1482962.0,0.0,0.0,3257.0,2788.0
3.125,15.625,65.625,0.0,0.0,15.625,0.0,28672.0,1286154.0,4335238.0,0.0,0.0,9007.0,6799.0
3.093,10.309,72.165,0.0,0.0,14.433,0.0,0.0,999370.0,3374968.0,0.0,0.0,7991.0,8154.0
4.167,8.333,72.917,0.0,0.0,14.583,0.0,0.0,1003923.0,3399635.0,0.0,0.0,7847.0,7926.0
2.0,15.0,68.0,0.0,0.0,15.0,0.0,0.0,1103243.0,3725142.0,0.0,0.0,8661.0,8719.0
2.062,16.495,68.041,0.0,0.0,13.402,0.0,16384.0,1131993.0,3820639.0,0.0,0.0,9031.0,9231.0
2.941,12.745,66.667,0.980,0.0,16.667,0.0,12288.0,1090986.0,3682869.0,0.0,0.0,8738.0,8897.0
1.020,13.265,69.388,0.0,0.0,16.327,0.0,0.0,1086448.0,3665913.0,0.0,0.0,8775.0,9176.0
2.970,14.851,66.337,0.0,0.0,15.842,0.0,0.0,1119257.0,3775899.0,0.0,0.0,8903.0,9056.0
4.040,15.152,68.687,0.0,0.0,12.121,0.0,0.0,1117139.0,3772225.0,0.0,0.0,9126.0,9530.0
2.941,13.725,63.725,0.0,0.0,19.608,0.0,0.0,1154409.0,3897190.0,0.0,0.0,8971.0,8856.0
2.041,19.388,69.388,0.0,0.0,9.184,0.0,12288.0,1108505.0,3739912.0,0.0,0.0,8913.0,9297.0
3.922,17.647,65.686,0.0,0.0,12.745,0.0,0.0,1115985.0,3770322.0,0.0,0.0,8963.0,9278.0
2.062,16.495,68.041,0.0,0.0,13.402,0.0,0.0,1170221.0,3950513.0,0.0,0.0,9304.0,9299.0
2.941,15.686,64.706,0.0,0.0,16.667,0.0,0.0,1174978.0,3953316.0,0.0,0.0,9253.0,9246.0
3.030,17.172,65.657,0.0,0.0,14.141,0.0,0.0,1193300.0,4036449.0,0.0,0.0,9288.0,8938.0
1.0,16.0,66.0,0.0,0.0,17.0,0.0,12288.0,1176011.0,3970534.0,0.0,0.0,9325.0,9167.0
3.030,16.162,65.657,0.0,0.0,15.152,0.0,0.0,1174628.0,3968191.0,0.0,0.0,9220.0,9084.0
2.020,15.152,66.667,0.0,0.0,16.162,0.0,0.0,1200545.0,4056607.0,0.0,0.0,9413.0,9087.0
2.128,10.638,69.149,0.0,0.0,18.085,0.0,0.0,1160990.0,3921786.0,0.0,0.0,9145.0,9383.0
2.020,18.182,66.667,0.0,0.0,13.131,0.0,0.0,1154574.0,3896894.0,0.0,0.0,9137.0,9185.0
2.0,18.0,67.0,0.0,0.0,13.0,0.0,12288.0,1119393.0,3777782.0,0.0,0.0,8833.0,8873.0
3.883,19.417,64.078,0.0,0.0,12.621,0.0,0.0,1115878.0,3766752.0,0.0,0.0,8717.0,8587.0
