"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -C total --output c8.csv",,,,"Date:","21 May 2018 22:17:33 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
0.516,1.600,96.317,0.008,0.0,1.560,13359.839,33341.202,0.0,0.0,0.0,0.0,822.228,1000.888
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1626.0,1228.0,0.0,0.0,16.0,36.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,750.0,1010.0,0.0,0.0,14.0,24.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,306.0,1010.0,0.0,0.0,17.0,28.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,402.0,694.0,0.0,0.0,14.0,22.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,452.0,0.0,0.0,13.0,22.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,28672.0,886.0,758.0,0.0,0.0,16.0,31.0
2.062,9.278,79.381,0.0,0.0,9.278,0.0,0.0,673081.0,2272554.0,0.0,0.0,5632.0,6642.0
4.0,13.0,70.0,0.0,0.0,13.0,0.0,0.0,938944.0,3155441.0,0.0,0.0,7715.0,9176.0
4.082,12.245,69.388,0.0,0.0,14.286,0.0,0.0,942344.0,3170256.0,0.0,0.0,7837.0,9362.0
2.941,12.745,66.667,0.0,0.0,17.647,0.0,0.0,978872.0,3291176.0,0.0,0.0,8025.0,9552.0
2.970,17.822,63.366,0.0,0.0,15.842,0.0,28672.0,1019036.0,3397472.0,0.0,0.0,7896.0,9223.0
3.030,13.131,68.687,0.0,0.0,15.152,0.0,0.0,1020467.0,3429619.0,0.0,0.0,8362.0,10010.0
3.125,15.625,68.750,0.0,0.0,12.500,0.0,0.0,992693.0,3329856.0,0.0,0.0,7989.0,9612.0
2.020,14.141,66.667,0.0,0.0,17.172,0.0,0.0,1052825.0,3540179.0,0.0,0.0,8579.0,10229.0
2.062,13.402,69.072,0.0,0.0,15.464,0.0,0.0,969938.0,3263082.0,0.0,0.0,7929.0,9419.0
4.040,19.192,63.636,0.0,0.0,13.131,0.0,12288.0,1072451.0,3607200.0,0.0,0.0,8600.0,10332.0
1.942,16.505,64.078,0.0,0.0,17.476,0.0,0.0,1070811.0,3601985.0,0.0,0.0,8661.0,10457.0
2.941,16.667,65.686,0.0,0.0,14.706,0.0,0.0,1060255.0,3564551.0,0.0,0.0,8682.0,10257.0
5.102,15.306,65.306,0.0,0.0,14.286,0.0,0.0,1067465.0,3591271.0,0.0,0.0,8616.0,10370.0
0.990,14.851,67.327,0.0,0.0,16.832,0.0,0.0,1034938.0,3478629.0,0.0,0.0,8591.0,10226.0
2.062,14.433,71.134,0.0,0.0,12.371,0.0,12288.0,1003419.0,3377196.0,0.0,0.0,8441.0,10163.0
2.0,14.0,69.0,0.0,0.0,15.0,0.0,0.0,997198.0,3354633.0,0.0,0.0,8460.0,10107.0
2.105,11.579,72.632,0.0,0.0,13.684,0.0,0.0,981114.0,3299453.0,0.0,0.0,8219.0,9771.0
3.061,13.265,70.408,0.0,0.0,13.265,0.0,0.0,1001970.0,3370736.0,0.0,0.0,8379.0,10077.0
4.040,17.172,66.667,0.0,0.0,12.121,0.0,0.0,992355.0,3337585.0,0.0,0.0,8194.0,9823.0
2.0,17.0,67.0,0.0,0.0,14.0,0.0,12288.0,1006503.0,3384760.0,0.0,0.0,8435.0,10156.0
2.020,13.131,70.707,0.0,0.0,14.141,0.0,0.0,910948.0,3065483.0,0.0,0.0,7652.0,9187.0
1.010,12.121,72.727,0.0,0.0,14.141,0.0,0.0,869001.0,2922687.0,0.0,0.0,7364.0,8864.0
2.083,10.417,71.875,0.0,0.0,15.625,0.0,0.0,948476.0,3190884.0,0.0,0.0,7931.0,9511.0
2.062,12.371,72.165,0.0,0.0,13.402,0.0,0.0,943782.0,3173095.0,0.0,0.0,7773.0,9278.0
1.042,11.458,70.833,0.0,0.0,16.667,0.0,12288.0,993164.0,3333659.0,0.0,0.0,8278.0,9900.0
2.970,13.861,65.347,0.0,0.0,17.822,0.0,0.0,1026280.0,3455932.0,0.0,0.0,8498.0,10065.0
2.020,17.172,67.677,0.0,0.0,13.131,0.0,4096.0,1053231.0,3543279.0,0.0,0.0,8703.0,10428.0
3.093,11.340,70.103,0.0,0.0,15.464,0.0,0.0,1037095.0,3487348.0,0.0,0.0,8716.0,10456.0
3.883,17.476,65.049,0.0,0.0,13.592,0.0,0.0,1004991.0,3381421.0,0.0,0.0,8321.0,9926.0
2.020,15.152,67.677,0.0,0.0,15.152,0.0,24576.0,1046912.0,3518324.0,0.0,0.0,8667.0,10367.0
3.738,20.561,60.748,0.0,0.0,14.953,0.0,0.0,1057358.0,3558517.0,0.0,0.0,8523.0,10177.0
2.857,16.190,64.762,0.0,0.0,16.190,0.0,20480.0,1026836.0,3452888.0,0.0,0.0,8491.0,10142.0
2.941,17.647,65.686,0.0,0.0,13.725,0.0,0.0,1055852.0,3552212.0,0.0,0.0,8869.0,10583.0
2.020,15.152,67.677,0.0,0.0,15.152,0.0,0.0,1058615.0,3560787.0,0.0,0.0,9010.0,10914.0
3.0,15.0,67.0,0.0,0.0,15.0,0.0,12288.0,1050365.0,3533843.0,0.0,0.0,8625.0,10258.0
2.041,16.327,67.347,0.0,0.0,14.286,0.0,0.0,1067673.0,3591507.0,0.0,0.0,8834.0,10490.0
