"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c256.csv",,,,"Date:","21 Jun 2018 15:39:00 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
21-06 15:39:00,0.0,0.0,0.116,436981760.0,132653056.0,665567232.0,862040064.0,0.0,0.0,3041.864,20439.536,1074.457,2753.310,4.729,1.186,94.077,0.006,0.0,0.002,4.535,1.064,93.567,0.004,0.0,0.830,0.0,0.0,0.160,0.370,1.830,2.980,2.570,
21-06 15:39:01,3.0,0.0,1.0,442109952.0,132653056.0,665571328.0,856907776.0,0.0,0.0,0.0,0.0,3698.0,8113.0,63.636,2.020,34.343,0.0,0.0,0.0,60.204,2.041,33.673,0.0,0.0,4.082,3067836.0,300660.0,0.0,0.0,1.830,2.980,2.570,
21-06 15:39:02,3.0,0.0,0.0,442507264.0,132653056.0,665571328.0,856510464.0,0.0,0.0,0.0,0.0,4928.0,10553.0,90.909,8.081,1.010,0.0,0.0,0.0,88.0,5.0,3.0,0.0,0.0,4.0,2388436.0,370882.0,0.0,0.0,1.830,2.980,2.570,
21-06 15:39:03,5.0,0.0,0.0,443236352.0,132653056.0,665571328.0,855781376.0,0.0,0.0,0.0,0.0,5315.0,11722.0,92.079,5.941,1.980,0.0,0.0,0.0,85.714,8.163,2.041,0.0,0.0,4.082,2652068.0,414308.0,0.0,0.0,1.830,2.980,2.570,
21-06 15:39:04,4.0,0.0,0.0,443338752.0,132653056.0,665571328.0,855678976.0,0.0,0.0,0.0,32768.0,4726.0,10610.0,86.869,12.121,1.010,0.0,0.0,0.0,85.417,6.250,2.083,0.0,0.0,6.250,2682302.0,463315.0,0.0,2.0,1.830,2.980,2.570,
21-06 15:39:05,4.0,0.0,0.0,444243968.0,132653056.0,665571328.0,854773760.0,0.0,0.0,0.0,0.0,4578.0,10635.0,90.0,9.0,1.0,0.0,0.0,0.0,89.899,2.020,4.040,0.0,0.0,4.040,2544950.0,432231.0,0.0,0.0,2.010,3.0,2.570,
21-06 15:39:06,5.0,0.0,0.0,444960768.0,132653056.0,665571328.0,854056960.0,0.0,0.0,0.0,0.0,4807.0,10639.0,92.929,7.071,0.0,0.0,0.0,0.0,88.889,4.040,3.030,0.0,0.0,4.040,2665000.0,436442.0,0.0,0.0,2.010,3.0,2.570,
21-06 15:39:07,4.0,0.0,0.0,445128704.0,132653056.0,665571328.0,853889024.0,0.0,0.0,0.0,0.0,4674.0,10911.0,88.119,9.901,1.980,0.0,0.0,0.0,91.837,2.041,3.061,0.0,0.0,3.061,2663094.0,462025.0,0.0,0.0,2.010,3.0,2.570,
21-06 15:39:08,5.0,0.0,0.0,445034496.0,132653056.0,665571328.0,853983232.0,0.0,0.0,0.0,0.0,4332.0,11343.0,90.909,7.071,2.020,0.0,0.0,0.0,89.691,4.124,2.062,0.0,0.0,4.124,2649724.0,442598.0,0.0,0.0,2.010,3.0,2.570,
21-06 15:39:09,3.0,0.0,2.0,447209472.0,132653056.0,665571328.0,851808256.0,0.0,0.0,0.0,0.0,4480.0,11424.0,92.929,5.051,2.020,0.0,0.0,0.0,86.0,7.0,2.0,0.0,0.0,5.0,2650799.0,424036.0,0.0,0.0,2.010,3.0,2.570,
21-06 15:39:10,4.0,0.0,0.0,447868928.0,132657152.0,665571328.0,851144704.0,0.0,0.0,0.0,12288.0,4951.0,12053.0,93.0,5.0,2.0,0.0,0.0,0.0,88.889,6.061,3.030,0.0,0.0,2.020,2615630.0,414525.0,0.0,2.0,2.010,2.980,2.570,
