"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c64.csv",,,,"Date:","21 Jun 2018 15:30:42 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
21-06 15:30:42,0.0,0.0,0.116,418308096.0,132493312.0,665452544.0,880988160.0,0.0,0.0,3052.484,20493.412,1065.652,2732.417,4.485,1.176,94.330,0.006,0.0,0.002,4.312,1.044,93.822,0.004,0.0,0.818,0.0,0.0,0.160,0.369,2.860,3.100,2.140,
21-06 15:30:43,4.0,0.0,0.0,418754560.0,132493312.0,665456640.0,880537600.0,0.0,0.0,0.0,0.0,3202.0,7564.0,68.687,2.020,29.293,0.0,0.0,0.0,63.636,7.071,27.273,0.0,0.0,2.020,2241232.0,320453.0,0.0,0.0,2.860,3.100,2.140,
21-06 15:30:44,5.0,0.0,0.0,417206272.0,132493312.0,665456640.0,882085888.0,0.0,0.0,0.0,0.0,4294.0,10727.0,92.857,4.082,3.061,0.0,0.0,0.0,80.808,14.141,1.010,0.0,0.0,4.040,2669276.0,407013.0,0.0,0.0,2.950,3.110,2.150,
21-06 15:30:45,5.0,0.0,0.0,416919552.0,132493312.0,665456640.0,882372608.0,0.0,0.0,0.0,0.0,4699.0,11070.0,85.0,11.0,4.0,0.0,0.0,0.0,81.818,8.081,4.040,0.0,0.0,6.061,2557738.0,395320.0,0.0,0.0,2.950,3.110,2.150,
21-06 15:30:46,4.0,0.0,0.0,415338496.0,132493312.0,665456640.0,883953664.0,0.0,0.0,0.0,0.0,4314.0,10231.0,92.857,4.082,3.061,0.0,0.0,0.0,85.714,9.184,1.020,0.0,0.0,4.082,2572474.0,438817.0,0.0,0.0,2.950,3.110,2.150,
21-06 15:30:47,4.0,0.0,0.0,414797824.0,132493312.0,665456640.0,884494336.0,0.0,0.0,0.0,0.0,4384.0,10203.0,91.919,5.051,3.030,0.0,0.0,0.0,88.0,7.0,2.0,0.0,0.0,3.0,2582496.0,440330.0,0.0,0.0,2.950,3.110,2.150,
21-06 15:30:48,5.0,0.0,0.0,410898432.0,132493312.0,665456640.0,888393728.0,0.0,0.0,0.0,40960.0,4228.0,10596.0,92.929,4.040,3.030,0.0,0.0,0.0,81.0,13.0,2.0,0.0,0.0,4.0,2590362.0,440891.0,0.0,2.0,2.950,3.110,2.150,
21-06 15:30:49,4.0,0.0,0.0,408006656.0,132493312.0,665456640.0,891285504.0,0.0,0.0,0.0,0.0,4322.0,10641.0,93.878,4.082,2.041,0.0,0.0,0.0,81.818,13.131,1.010,0.0,0.0,4.040,2611528.0,442173.0,0.0,0.0,3.030,3.130,2.160,
21-06 15:30:50,4.0,0.0,0.0,404762624.0,132493312.0,665456640.0,894529536.0,0.0,0.0,0.0,0.0,4369.0,10622.0,92.929,5.051,2.020,0.0,0.0,0.0,78.218,11.881,1.980,0.0,0.0,7.921,2616932.0,424229.0,0.0,0.0,3.030,3.130,2.160,
21-06 15:30:51,4.0,0.0,0.0,402292736.0,132493312.0,665456640.0,896999424.0,0.0,0.0,0.0,0.0,4410.0,11169.0,90.0,6.0,4.0,0.0,0.0,0.0,80.612,11.224,3.061,0.0,0.0,5.102,2514900.0,402115.0,0.0,0.0,3.030,3.130,2.160,
